Country,RC,CW,CF,TA,WD
2,11.34,15.62,1.49,0.423,6.82
2,10.95,12.54,2,0.656,1.64
2,13.54,17.66,1.45,0.568,3.5
2,13.76,16.56,1.42,0.601,3
2,15.42,16.34,2.98,0.565,4.68
2,12.33,16.23,1.61,0.724,1.44
2,11.11,16.24,1.69,0.729,1.08
2,12.43,15.43,1.25,0.532,1.26
2,10.12,13.05,2.94,0.324,2.22
2,10.22,17.36,3.22,0.239,2.22
2,14.15,12.22,3.32,0.211,1.1
2,20.76,16.05,3.5,0.798,3.45
2,13.87,16.02,1.42,0.195,2.9
2,15.22,15.78,1.57,0.233,3.28
2,14.01,11.23,1.74,0.237,3.98
2,14.06,16.32,3.02,0.884,4.39
2,15.54,17.54,2.33,0.666,2.93
2,15.81,15.89,3.05,0.544,4.76
2,16.04,16.03,2.65,0.111,6.54
2,10.56,13.33,3.56,0.569,4.78
2,10.25,16.46,1.64,0.898,1.64
2,10.32,17.28,6.1,0.726,6.43
2,14.23,13.26,1.94,0.541,5.16
2,10.03,11.22,1.13,0.467,3.62
2,14.34,13.45,0.83,0.473,3.62
2,11.21,15.44,3.47,0.513,4.66
2,11.23,17.23,1.77,0.199,2.44
2,13.57,12.67,3.39,0.451,4.56
2,20.87,13.01,2.95,0.458,4.23
2,12.23,14.27,1.56,0.182,2.46
2,14.63,15.84,2.34,0.642,3.08
2,15.27,17.53,1.73,0.761,3.92
2,15.49,14.98,1.32,0.336,3.52
2,15.68,13.04,1.56,0.823,3.08
2,13.01,17.44,1.23,0.245,3.34
2,14.08,13.76,3.48,0.395,3.22
2,14.55,12.09,3.66,0.435,4.35
2,13.15,12.43,1.03,0.465,1.5
2,13.42,17.09,1.36,0.476,6.33
2,14.02,17.34,1.2,0.382,6.43
4,14.29,17.21,2.34,0.567,6.36
4,14.35,15.81,2.49,0.905,3.98
4,14.59,14.04,2.34,0.874,5.8
4,14.62,14.21,2.45,0.916,2.9
4,15.73,17.01,2.14,0.984,5.77
4,16.31,12.33,2.57,0.767,4.56
4,15.84,13.78,2.68,0.768,6.64
4,19.45,17.05,2.82,0.871,6.82
4,15.17,13.25,1.09,0.123,2.24
4,17.98,17.55,2.6,0.901,6.84
4,15.99,16.35,1.13,0.351,2.56
4,14.25,12.11,2.52,0.654,3.22
4,14.32,16.34,1.36,0.788,4.54
4,14.56,12.32,1.57,0.859,4.32
4,15.38,13.54,1.3,0.549,3.4
4,16.39,14.66,1.9,0.934,3.68
4,20.22,14.72,4.46,0.454,1.38
4,17.37,14.25,2.43,0.516,6.82
4,16.45,17.88,3.38,0.853,1.33
4,14.78,14.52,2.67,0.676,2.38
4,15.29,15.42,2.29,0.545,3.21
4,15.89,15.03,3.17,0.127,5.66
4,16.37,13.23,2.65,0.975,5.24
4,14.39,16.58,2.49,0.555,6.84
4,15.35,13.24,2.59,0.999,6.84
4,15.95,17.11,2.7,0.453,6.84
4,16.08,14.09,2.49,0.631,4.98
4,16.14,14.56,2.51,0.459,6.82
4,16.25,16.44,2.34,0.776,6.84
4,16.36,13.24,2.04,0.868,5.94
4,17.32,12.23,2.26,0.322,5.98
4,18.54,16.37,2.46,0.649,5.32
4,13.43,18.11,2.42,0.645,6.84
4,17.44,14.87,1.2,0.721,2.4
4,15.51,15.98,3.36,0.542,4.32
4,20.17,14.87,2.88,0.238,4.9
4,14.21,17.02,1.38,0.543,5.22
4,14.22,16.77,1.07,0.743,3.47
4,14.27,13.15,1.12,0.876,1.22
4,14.67,15.87,1.18,0.872,5.12
4,15.21,15.32,2.2,0.612,5.1
4,15.45,14.54,2.03,0.518,5.46
4,12.65,12.45,2.33,0.546,6.1
4,15.14,17.26,2.85,0.433,3.77
4,16.77,12.88,2.52,0.556,6.8
4,20.02,15.45,3.62,0.985,4.12
4,15.19,13.88,2.24,0.566,3.92
4,17.34,14.22,2,0.438,3.76
4,15.76,14.29,1.34,0.488,3.4
4,16.28,17.12,1.56,0.412,3.42
4,20.21,12.31,1.57,0.854,4.24
4,20.05,17.38,1.78,0.357,2.78
4,14.28,17.27,1.7,0.152,4.06
4,14.36,15.67,2.41,0.643,5.74
4,16.34,15.23,1.32,0.512,2.9
4,20.15,12.21,1.45,0.855,4.44
4,15.58,17.25,1.27,0.732,4.26
4,15.72,14.65,1.21,0.801,3.4
4,15.79,15.81,1.81,0.832,4.26
4,15.86,14.76,1.51,0.851,5.1
4,16.01,13.09,1.7,0.941,5.43
4,17.55,15.07,1.59,0.677,5.12
4,17.65,16.33,3.35,0.987,2.76
4,16.27,16.66,3.97,0.439,2.23
4,16.41,15.41,3.52,0.444,1.23
4,16.23,16.32,0.93,0.188,1.58
4,15.12,17.03,2.95,0.653,1.98
4,15.48,12.56,2.74,0.234,4.32
4,15.53,16.15,2.77,0.124,5.43
4,15.57,16.43,2.76,0.787,5.43
4,15.59,17.43,2.66,0.936,3.5
4,16.19,16.23,2.81,0.651,4.32
5,14.19,13.21,1.22,0.498,2.16
5,15.31,16.27,2.44,0.909,4.3
5,15.46,12.05,2.63,0.698,2.33
5,15.56,16.21,2.59,0.432,3.23
5,15.63,15.66,2.37,0.832,6.94
5,15.93,16.48,2.69,0.908,6.94
5,18.92,15.46,2.6,0.456,6.12
5,13.22,17.89,1.72,0.739,3.48
5,19.32,14.32,4.05,0.436,4.51
5,10.78,15.77,1.58,0.222,2.88
5,14.17,16.88,1.63,0.889,1.46
5,14.68,14.02,1.67,0.246,2.9
5,16.17,14.77,3.2,0.434,6.32
5,17.87,17.04,3.48,0.323,4.99
5,18.44,11.55,3.02,0.781,4.32
5,18.65,15.88,3.25,0.321,6.44
5,19.41,15.23,3.32,0.933,5.11
5,19.77,18.88,3.04,0.981,1.27
5,20.07,11.01,3.39,0.545,4.55
5,20.08,16.22,2.8,0.873,1.22
5,20.19,16.28,3.3,0.777,3.21
5,20.23,16.12,3.25,0.762,5.02
5,20.43,12.55,3.36,0.427,3.22
5,20.54,16.89,3.06,0.989,5.31
5,20.65,18.23,3.39,0.878,2.54
5,13.55,15.22,2.21,0.946,5.66
5,12.77,15.55,0.92,0.681,1.5
5,13.32,16.55,0.84,0.212,3.32
5,10.33,13.82,1.91,0.765,3.34
5,12.59,17.77,1.08,0.472,2.26
5,14.18,12.01,1.14,0.897,2.82
5,13.65,17.33,1.71,0.345,2.86
5,11.24,12.29,1.39,0.912,2.84
5,14.16,16.25,1.73,0.678,2.9
5,15.39,13.75,1.94,0.824,3.92